Ticker,Combined Weight
ANET,0.018524458621561622
CARR,0.057990215458894864
CRWD,0.010000000000000012
EQT,0.024279462391899327
FCX,0.010000000000000012
IRM,0.13486354352240074
KR,0.08435294469254401
LLY,0.010000000000000012
MCK,0.01832725691277552
NFLX,0.033127579094395336
NRG,0.02268144262316082
NUE,0.04241075044128024
NVDA,0.10562514769043192
PANW,0.011791325329027016
PCG,0.0865306229382729
PDD,0.08612105405996008
PGR,0.017409850539707922
PSA,0.019513601738549026
PWR,0.01672953474722782
TMUS,0.022421156103795623
TRGP,0.010353540376466311
TSCO,0.07775177045524508
TSLA,0.06919474226240378
WMT,0.010000000000000012
